Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Kingdom,Phylum,Class,Order,Family,Genus,Specific epithet,Notes
NC_RockyIt,Anoplarchus purpurescens,OPC,,,Inventory,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,purpurescens,
NC_RockyIt,Apodichthys flavidus,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,flavidus,
NC_RockyIt,Apodichthys fucorum,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,fucorum,
NC_RockyIt,Artedius corallinus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Artedius,corallinus,
NC_RockyIt,Artedius fenestralis,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Artedius,fenestralis,
NC_RockyIt,Artedius harringtoni,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Artedius,harringtoni,
NC_RockyIt,Artedius lateralis,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Artedius,lateralis,
NC_RockyIt,Ascelichthys rhodorus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Ascelichthys,rhodorus,
NC_RockyIt,Cebidichthys violaceus,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Cebidichthys,violaceus,
NC_RockyIt,Clinocottus acuticeps,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,acuticeps,
NC_RockyIt,Clinocottus analis,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,analis,
NC_RockyIt,Clinocottus embryum,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,acuticeps,
NC_RockyIt,Clinocottus globiceps,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,globiceps,
NC_RockyIt,Clinocottus recalvus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,recalvus,
NC_RockyIt,Clinocottus spp.,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,spp.,Any Clinocottus that was unable to be identified to the species level
NC_RockyIt,Enophrys bison,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Enophrys,bison,
